"球员","所属球队","出场.替补.","出场时间","进球.点.","分钟.球","射门","射正","入球转化率","被侵犯","越位","最佳","生日","惯用脚","国籍","合同截止期","位置","铲断","拦截","解围","偷球","封堵","头球","犯规","总传球","传球成功率","关键传球","助攻","分钟.助攻","长传","直塞","带球摆脱","联赛","名次","身价"
"马蒂奇","曼彻斯特联","28",2442,"1",2442,12,3,"8.3%",20,1,0,"1988-08-01","左脚","塞尔维亚、斯洛伐克","2020-06-30","中场",51,30,54,41,18,52,27,1835,0.87,13,0,0,162,3,17,"英超",35,3150
"拜利","曼彻斯特联","10(2)",648,"0",0,3,1,"0%",5,0,0,"1994-04-12","右脚","科特迪瓦","2020-06-30","后卫",14,14,35,1,4,12,5,301,0.87,0,0,0,34,0,4,"英超",35,2700
"安德烈亚斯.佩雷拉","曼彻斯特联","15(9)",594,"1",594,8,2,"12.5%",5,1,0,"1996-01-01","右脚","巴西、比利时","2019-06-30","中场",9,11,7,15,2,3,12,345,0.826,9,1,594,25,1,7,"英超",35,720
"达米安","曼彻斯特联","5",443,"0",0,1,1,"0%",4,1,0,"1989-12-02","右脚","意大利、阿美尼亚","2019-06-30","后卫",14,7,20,2,0,3,3,176,0.852,2,0,0,17,0,1,"英超",35,900
"德赫亚","曼彻斯特联","38",3420,"0",0,0,0,"0%",4,0,1,"1990-11-07","右脚","西班牙","2019-06-30","守门员",0,0,20,0,0,4,1,947,0.6,0,0,0,670,0,0,"英超",35,6300
"林加德","曼彻斯特联","26(7)",1716,"4(1)",572,32,14,"9.4%",25,7,1,"1992-12-15","右脚","英格兰","2021-06-30","中场",30,10,6,21,2,5,27,763,0.856,17,2,858,16,3,16,"英超",35,3600
"博格巴","曼彻斯特联","35(1)",3011,"13(7)",501.8,105,50,"5.7%",68,5,6,"1993-03-15","双脚","法国、几内亚","2021-06-30","中场",46,18,33,91,9,59,54,2064,0.828,54,9,334.6,246,13,54,"英超",35,8100
"麦克托米奈","曼彻斯特联","15(6)",861,"2",430.5,15,6,"13.3%",16,1,0,"1996-12-08","右脚","苏格兰、英格兰","2023-06-30","中场",10,14,15,8,4,31,11,448,0.839,1,0,0,37,1,1,"英超",35,630
"弗雷德","曼彻斯特联","17(4)",1044,"1",1044,17,2,"5.9%",18,1,1,"1993-03-05","左脚","巴西","2023-06-30","中场",30,16,7,18,2,3,25,765,0.867,12,1,1044,81,3,9,"英超",35,3150
"罗霍","曼彻斯特联","5(3)",211,"0",0,6,4,"0%",1,0,0,"1990-03-20","左脚","阿根廷","2021-06-30","后卫",5,5,9,0,2,3,3,124,0.726,0,0,0,21,0,1,"英超",35,1350
"菲尔-琼斯","曼彻斯特联","17(2)",1261,"0",0,5,2,"0%",10,0,0,"1992-02-21","右脚","英格兰","2023-06-30","后卫",21,22,60,3,11,43,8,758,0.923,3,1,1261,53,0,3,"英超",35,1800
"拉什福德","曼彻斯特联","33(7)",2363,"10",236.3,84,40,"11.9%",52,15,3,"1997-10-31","右脚","英格兰","2020-06-30","前锋",25,4,25,49,0,29,26,664,0.785,38,6,393.8,32,3,40,"英超",35,7200
"马塔","曼彻斯特联","22(6)",1293,"3",431,19,6,"15.8%",9,8,0,"1988-04-28","左脚","西班牙","2019-06-30","中场",9,7,6,20,1,2,10,690,0.861,28,2,646.5,68,5,10,"英超",35,2250
"达洛特","曼彻斯特联","16(4)",1014,"0",0,15,0,"0%",2,2,0,"1999-03-18","右脚","葡萄牙","2023-06-30","后卫",23,8,29,4,2,20,12,425,0.711,17,2,507,36,0,11,"英超",35,1350
"连德罗夫","曼彻斯特联","30(1)",2602,"1",2602,8,1,"12.5%",15,0,0,"1994-07-17","右脚","瑞典","2021-06-30","后卫",38,24,118,3,12,70,19,1489,0.891,5,1,2602,132,1,8,"英超",35,3150
"卢克肖","曼彻斯特联","29",2592,"1",2592,21,7,"4.8%",17,1,1,"1995-07-12","左脚","英格兰","2023-06-30","后卫",55,22,78,16,12,47,42,1657,0.832,33,4,648,99,1,25,"英超",35,2250
"阿什利-扬","曼彻斯特联","30(2)",2602,"2",1301,12,3,"16.7%",32,4,0,"1985-07-09","双脚","英格兰、牙买加","2020-06-30","后卫",52,53,57,20,10,22,37,1372,0.778,39,2,1301,240,1,16,"英超",35,630
"桑切斯","曼彻斯特联","20(11)",877,"1",877,16,8,"6.2%",18,8,0,"1988-12-19","右脚","智利","2022-06-30","中场",18,9,1,26,0,7,14,380,0.745,21,3,292.3,36,6,14,"英超",35,3150
"卢卡库","曼彻斯特联","32(10)",2130,"12",177.5,55,32,"21.8%",3,23,3,"1993-05-13","左脚","比利时、刚果民主共和国","2022-06-30","前锋",9,2,18,48,1,91,18,531,0.665,21,0,0,20,5,18,"英超",35,7650
"萊安德羅.巴雷羅","美因茨","1",90,"0",0,1,0,"0%",0,0,0,"2000-01-03","右脚","卢森堡、葡萄牙","2021-06-30","中场",5,2,1,0,0,2,1,25,0.56,1,0,0,4,0,3,"德甲",94,0
"J.P.马泰塔","美因茨","34(5)",2493,"14",178.1,96,34,"14.6%",30,36,2,"1997-06-28","右脚","法国、刚果民主共和国","2022-06-30","前锋",13,4,22,62,2,108,32,449,0.715,31,2,1246.5,13,1,35,"德甲",94,675
"拉萨","美因茨","24(2)",1881,"0",0,39,7,"0%",40,2,1,"1989-12-07","右脚","德国","2021-06-30","中场",39,21,28,24,10,33,25,1010,0.807,23,3,627,93,4,15,"德甲",94,405
"K.奥尼西沃","美因茨","26(15)",1146,"7",163.7,39,17,"17.9%",33,3,2,"1992-03-17","右脚","奥地利","2019-06-30","中场",22,8,8,19,3,45,22,229,0.638,21,3,382,4,1,14,"德甲",94,45
"巴斯曼","美因茨","1",90,"0",0,0,0,"0%",1,0,0,"1991-02-02","左脚","法国","2019-06-30","后卫",3,1,2,0,0,6,4,45,0.756,0,0,0,4,0,0,"德甲",94,45
"库埃森","美因茨","28(3)",2158,"7",308.3,50,17,"14%",21,10,0,"1993-10-09","右脚","瑞典、加纳","2021-06-30","中场",20,7,4,62,1,24,31,435,0.731,22,3,719.3,22,3,22,"德甲",94,315
"G.奥尔特曼","美因茨","4(3)",143,"0",0,2,0,"0%",1,0,0,"1995-03-25","左脚","德国、菲律宾","2021-06-30","中场",4,4,1,2,1,2,3,25,0.64,2,0,0,0,1,4,"德甲",94,135
"多纳蒂","美因茨","9(3)",625,"0",0,2,0,"0%",6,0,0,"1990-02-05","右脚","意大利","2019-06-30","后卫",9,19,21,3,3,7,6,242,0.764,6,0,0,38,1,6,"德甲",94,315
"厄兹图纳利","美因茨","15(4)",923,"0",0,16,7,"0%",2,0,0,"1996-03-15","右脚","德国、土耳其","2021-06-30","中场",15,8,7,15,2,7,18,265,0.679,6,1,923,13,2,15,"德甲",94,495
"穆萨尼亚格","美因茨","33(1)",2834,"1",2834,10,3,"10%",19,0,0,"1996-03-08","左脚","法国、马里","2023-06-30","后卫",48,51,131,6,24,71,36,1496,0.825,10,1,2834,296,2,8,"德甲",94,540
"B.丹尼尔","美因茨","26",2205,"3(3)",0,18,6,"0%",13,1,2,"1988-07-17","右脚","德国","2020-06-30","后卫",26,32,44,13,9,21,13,934,0.742,42,5,441,185,1,6,"德甲",94,270
"本格特","美因茨","5(2)",283,"0",0,1,1,"0%",2,0,0,"1986-10-24","右脚","德国","2019-06-30","后卫",7,4,16,0,6,9,1,107,0.879,1,0,0,17,0,0,"德甲",94,45
"乌贾","美因茨","22(16)",719,"4",179.8,27,12,"14.8%",5,10,1,"1990-10-14","右脚","尼日利亚","2021-06-30","前锋",2,1,10,11,2,44,15,178,0.663,12,0,0,5,2,3,"德甲",94,135
"弗里安.穆勒","美因茨","24",2160,"0",0,0,0,"0%",0,0,1,"1997-11-13","左脚","德国","2022-06-30","守门员",1,3,12,0,0,3,0,726,0.612,2,0,0,467,0,1,"德甲",94,90
"J.葛巴明","美因茨","31(1)",2674,"2",1337,35,7,"5.7%",29,1,0,"1995-09-25","右脚","法国、法国","2023-06-30","中场",59,34,32,46,4,55,40,1338,0.805,22,1,2674,154,4,34,"德甲",94,2250
"贝尔","美因茨","25",2250,"0",0,18,4,"0%",14,5,0,"1991-08-24","右脚","德国","2020-06-30","后卫",30,58,124,10,11,96,41,1199,0.796,21,0,0,256,2,15,"德甲",94,540
"菲利普","美因茨","6(4)",270,"0",0,1,0,"0%",8,0,0,"1994-01-29","右脚","奥地利、肯尼亚","2021-06-30","后卫",8,6,10,5,0,3,5,99,0.707,3,0,0,12,0,1,"德甲",94,90
"波特巴库","美因茨","15(5)",938,"0",0,11,3,"0%",13,1,0,"1998-04-08","右脚","德国、刚果民主共和国","2022-06-30","中场",16,9,6,11,1,9,9,434,0.818,6,0,0,40,0,6,"德甲",94,135
"博蒂乌斯","美因茨","30(5)",2135,"4",533.8,47,13,"8.5%",47,3,1,"1994-03-22","右脚","荷兰、苏利南共和国","2022-06-30","中场",48,34,11,41,2,24,51,833,0.771,29,7,305,73,6,29,"德甲",94,180
"马克西姆","美因茨","22(19)",558,"1",558,16,3,"6.2%",7,3,0,"1990-07-08","右脚","罗马尼亚","2021-06-30","中场",16,6,7,14,0,3,9,335,0.83,16,0,0,24,2,9,"德甲",94,180
"R.泽特拿","美因茨","10",900,"0",0,0,0,"0%",2,0,1,"1994-10-28","右脚","德国","2021-06-30","守门员",0,1,10,0,0,2,0,286,0.552,0,0,0,182,0,0,"德甲",94,54
"亚历山大.哈克","美因茨","14(3)",1019,"1",1019,11,2,"9.1%",8,0,0,"1993-09-08","左脚","德国","2022-06-30","后卫",28,39,56,0,16,40,13,549,0.761,2,1,1019,99,0,8,"德甲",94,270
"彼埃尔昆德","美因茨","28(5)",1916,"0",0,30,7,"0%",26,1,0,"1995-07-26","右脚","喀麦隆","2022-06-30","中场",45,26,46,25,14,26,23,1130,0.819,15,0,0,216,4,25,"德甲",94,585
"O.文特","门兴格拉德巴赫","32(2)",2730,"1",2730,8,5,"12.5%",18,1,1,"1985-10-24","左脚","瑞典","2020-06-30","后卫",43,22,62,8,11,27,25,1511,0.819,25,1,2730,157,0,8,"德甲",77,180
"L.拜耶","门兴格拉德巴赫","8(1)",631,"0",0,5,1,"0%",3,0,0,"2000-05-19","右脚","德国","2022-06-30","后卫",24,7,26,4,6,12,5,392,0.872,2,0,0,27,0,4,"德甲",77,90
"斯特罗布尔","门兴格拉德巴赫","29(3)",2295,"0",0,7,2,"0%",24,1,0,"1990-05-12","右脚","德国","2020-06-30","中场",32,34,34,10,14,35,26,1480,0.899,17,4,573.8,212,1,4,"德甲",77,720
"弗洛里安.纽豪斯","门兴格拉德巴赫","31(6)",2069,"3",689.7,51,13,"5.9%",40,0,0,"1997-03-16","右脚","德国","2021-06-30","中场",25,10,20,33,1,6,26,866,0.838,29,8,258.6,78,5,28,"德甲",77,2160
"金特尔","门兴格拉德巴赫","27",2380,"2",1190,23,8,"8.7%",15,2,1,"1994-01-19","右脚","德国","2021-06-30","后卫",23,20,96,6,19,68,12,1759,0.865,9,0,0,235,0,2,"德甲",77,3150
"拉菲尔","门兴格拉德巴赫","13(8)",539,"2",269.5,11,3,"18.2%",5,3,0,"1985-03-28","右脚","巴西","2020-06-30","前锋",7,0,0,16,0,2,9,213,0.826,16,1,539,8,0,9,"德甲",77,360
"克拉马","门兴格拉德巴赫","18(5)",1136,"2",568,8,3,"25%",14,1,1,"1991-02-19","右脚","德国","2021-06-30","中场",42,23,21,13,4,16,24,731,0.891,9,1,1136,44,1,10,"德甲",77,1080
"尼克.埃尔维蒂","门兴格拉德巴赫","30",2625,"2",1312.5,14,3,"14.3%",14,1,2,"1996-09-30","右脚","瑞士","2021-06-30","后卫",40,51,129,3,13,80,17,2065,0.926,3,1,2625,136,1,9,"德甲",77,3150
"霍夫曼","门兴格拉德巴赫","27(6)",1917,"5(1)",479.2,36,10,"11.1%",25,5,1,"1992-07-14","右脚","德国","2023-06-30","中场",37,16,13,25,2,8,20,1036,0.837,34,5,383.4,84,1,9,"德甲",77,1080
"扎卡里亚","门兴格拉德巴赫","31(10)",1956,"4",489,36,14,"11.1%",19,1,0,"1996-11-20","右脚","瑞士、刚果民主共和国","2022-06-30","中场",39,23,19,22,9,16,31,741,0.833,16,0,0,54,1,30,"德甲",77,1530
"斯廷德尔","门兴格拉德巴赫","21(2)",1513,"3",504.3,34,11,"8.8%",30,7,1,"1988-08-26","右脚","德国","2021-06-30","前锋",21,13,13,16,2,19,19,742,0.827,22,1,1513,46,3,14,"德甲",77,1350
"索尔甘.阿扎尔","门兴格拉德巴赫","33",2878,"10(3)",411.1,77,26,"9.1%",62,16,6,"1993-03-29","右脚","比利时","2020-06-30","中场",50,28,10,52,2,22,26,1140,0.768,74,11,261.6,89,8,69,"德甲",77,4050
"赫尔曼","门兴格拉德巴赫","24(14)",1073,"3",357.7,19,4,"15.8%",10,3,0,"1991-02-12","右脚","德国","2022-06-30","中场",21,7,10,7,3,8,16,406,0.803,25,2,536.5,37,0,10,"德甲",77,405
"索马","门兴格拉德巴赫","34",3060,"0",0,0,0,"0%",3,0,2,"1988-12-17","右脚","瑞士","2021-06-30","守门员",2,1,16,1,0,11,1,1409,0.772,2,0,0,563,0,2,"德甲",77,1170
"兰治","门兴格拉德巴赫","16(1)",1260,"1",1260,11,3,"9.1%",7,2,0,"1991-02-08","右脚","瑞士","2022-06-30","后卫",14,16,38,3,3,20,10,653,0.839,5,0,0,46,0,2,"德甲",77,540
"I.特拉奥雷","门兴格拉德巴赫","15(10)",547,"0",0,15,5,"0%",6,3,1,"1988-04-21","左脚","几内亚、法国","2021-06-30","中场",12,5,1,3,1,1,7,233,0.807,14,2,273.5,17,0,17,"德甲",77,270
"A.比利亞","门兴格拉德巴赫","34(6)",2508,"12",209,83,41,"14.5%",32,20,1,"1993-03-10","右脚","法国、马里","2023-06-30","前锋",15,4,15,45,2,37,33,610,0.726,34,4,627,31,1,21,"德甲",77,3420
"迈克尔.屈桑斯","门兴格拉德巴赫","11(10)",269,"0",0,8,1,"0%",2,0,0,"1999-08-16","左脚","法国","2023-06-30","中场",9,5,4,9,0,1,8,149,0.792,5,1,269,14,1,10,"德甲",77,585
"扬奇克","门兴格拉德巴赫","14(4)",930,"0",0,4,0,"0%",12,0,0,"1990-04-07","右脚","德国","2021-06-30","后卫",13,26,48,1,7,31,6,801,0.899,1,1,930,76,1,2,"德甲",77,315
"约翰逊","门兴格拉德巴赫","18(7)",1009,"1",1009,3,2,"33.3%",15,3,0,"1987-12-11","右脚","美国、德国","2020-06-30","中场",12,11,13,9,3,7,4,494,0.806,4,0,0,37,0,0,"德甲",77,315
"P·门德斯","蒙彼利埃","31",2669,"1",2669,8,2,"12.5%",47,0,1,"1990-10-01","右脚","葡萄牙、瑞士","2021-06-30","后卫",74,47,66,8,22,37,43,1276,0.824,9,0,0,275,0,11,"法甲",109,540
"马蒂亚斯·苏亚雷斯","蒙彼利埃","10(3)",568,"0",0,0,0,"0%",16,1,0,"1996-06-24","右脚","乌拉圭","2023-06-30","后卫",20,9,16,6,0,11,15,185,0.773,4,0,0,16,1,1,"法甲",109,90
"莱康特","蒙彼利埃","37",3330,"0",0,0,0,"0%",6,0,2,"1991-04-26","右脚","法国","2024-06-30","守门员",1,3,46,1,0,22,1,1098,0.643,1,0,0,749,0,1,"法甲",109,1530
"列斯迪","蒙彼利埃","9(6)",320,"1",320,5,2,"20%",4,0,0,"1995-10-31","左脚","塞尔维亚、波黑","2022-06-30","中场",14,8,7,9,3,3,2,102,0.716,2,0,0,12,0,2,"法甲",109,72
"斯库莱特奇","蒙彼利埃","27(23)",581,"1",581,33,13,"3%",7,4,1,"1990-06-29","左脚","塞尔维亚、黑山","2019-06-30","前锋",9,3,13,11,1,46,16,157,0.713,7,1,581,5,0,8,"法甲",109,90
"P.拿斯尼","蒙彼利埃","33(15)",1775,"2",887.5,22,8,"9.1%",26,4,1,"1989-01-16","左脚","法国","2021-06-30","中场",51,23,22,20,2,21,31,869,0.82,23,0,0,79,1,11,"法甲",109,225
"J·桑比亚","蒙彼利埃","29(22)",902,"0",0,23,6,"0%",24,4,0,"1996-09-07","右脚","法国","2022-06-30","中场",15,6,2,29,2,11,19,339,0.802,21,1,902,26,0,27,"法甲",109,360
"K.多里","蒙彼利埃","3(1)",89,"0",0,1,0,"0%",2,0,0,"1993-01-22","左脚","南非","2021-06-30","中场",0,0,0,2,0,1,2,31,0.871,1,0,0,5,0,0,"法甲",109,135
"伊利斯","蒙彼利埃","37(2)",3091,"3",1030.3,25,5,"12%",33,0,3,"1995-05-10","右脚","突尼斯、法国","2020-06-30","中场",100,59,36,31,7,42,40,1651,0.856,23,2,1545.5,148,3,30,"法甲",109,900
"S.卡马拉","蒙彼利埃","10(10)",118,"3",39.3,7,5,"42.9%",5,2,0,"1982-12-22","右脚","塞内加尔","2020-06-30","中场",0,0,3,1,0,5,3,52,0.692,2,0,0,1,0,3,"法甲",109,22.5
"孔戈尔","蒙彼利埃","37",3330,"2",1665,14,5,"14.3%",30,1,1,"1985-04-05","右脚","法国、瓜德罗普","2019-06-30","后卫",72,65,100,10,15,85,37,1521,0.82,9,2,1665,238,2,3,"法甲",109,67.5
"N.科扎","蒙彼利埃","12(1)",986,"0",0,0,0,"0%",10,0,0,"1999-01-08","左脚","法国","2020-06-30","后卫",19,22,32,8,10,16,11,443,0.837,3,1,986,54,0,6,"法甲",109,360
"莱康特","蒙彼利埃","37",3330,"0",0,0,0,"0%",6,0,2,"1991-04-26","右脚","法国","2024-06-30","守门员",1,3,46,1,0,22,1,1098,0.643,1,0,0,749,0,1,"法甲",109,1530
"勒塔莱","蒙彼利埃","36(5)",2812,"3",937.3,35,14,"8.6%",28,1,1,"1990-04-19","右脚","法国","2022-06-30","中场",93,56,47,12,8,73,54,1217,0.791,22,0,0,105,0,3,"法甲",109,360
"鲁本.阿吉拉尔","蒙彼利埃","29",2531,"1",2531,13,4,"7.7%",41,1,2,"1993-04-26","右脚","法国、西班牙","2020-06-30","后卫",87,34,43,24,3,29,38,1233,0.838,44,4,632.8,101,0,32,"法甲",109,540
"迪米特里巴特","蒙彼利埃","1",90,"0",0,0,0,"0%",0,0,0,"1998-06-06","右脚","法国",NA,"守门员",0,0,0,0,0,1,0,32,0.469,0,0,0,26,0,0,"法甲",109,36
"布托巴","蒙彼利埃","1(1)",30,"0",0,3,0,"0%",3,0,0,"1998-08-29","左脚","法国、阿尔及利亚","2020-06-30","中场",0,0,0,0,0,0,0,12,0.917,1,0,0,0,0,2,"法甲",109,45
"迪罗特","蒙彼利埃","36",3139,"14(3)",285.4,118,36,"9.3%",53,25,3,"1991-10-09","右脚","阿尔及利亚、法国","2021-06-30","前锋",33,6,6,66,7,134,91,1045,0.636,55,7,448.4,85,7,51,"法甲",109,1125
"莫雷特","蒙彼利埃","32(1)",2640,"6",440,83,33,"7.2%",33,7,2,"1991-11-19","右脚","法国","2022-06-30","中场",36,19,4,50,1,15,45,1276,0.871,68,4,660,105,2,18,"法甲",109,630
"布洛斯","蒙彼利埃","26(1)",2141,"2",1070.5,12,3,"16.7%",24,0,0,"1991-06-22","左脚","喀麦隆","2022-06-30","后卫",47,38,45,28,7,14,24,759,0.71,23,0,0,97,0,25,"法甲",109,360
"F.皮里斯","蒙彼利埃","5(5)",111,"0",0,0,0,"0%",0,0,0,"1990-03-27","右脚","乌拉圭、意大利","2018-06-30","中场",8,1,2,0,0,6,2,59,0.814,0,0,0,4,0,0,"法甲",109,135
"G.拉博德","蒙彼利埃","37(1)",3075,"11",279.5,84,29,"13.1%",36,7,3,"1994-05-03","左脚","法国","2022-06-30","前锋",40,6,26,66,2,110,37,890,0.673,39,4,768.8,32,4,39,"法甲",109,720
"希尔顿","蒙彼利埃","36",3240,"0",0,16,4,"0%",45,0,0,"1977-09-13","右脚","巴西","2020-06-30","后卫",35,64,197,5,15,82,23,1490,0.818,8,2,1620,397,2,3,"法甲",109,9
"查德利","摩纳哥","14(6)",670,"0",0,2,1,"0%",7,2,0,"1989-08-02","右脚","比利时、摩洛哥","2021-06-30","中场",10,3,7,15,0,11,10,261,0.824,7,0,0,12,1,7,"法甲",NA,1350
"纳尔多","摩纳哥","6(1)",415,"0",0,3,0,"0%",0,0,0,"1982-09-10","右脚","巴西、德国","2020-06-30","后卫",5,3,21,0,2,13,2,164,0.841,1,0,0,24,0,0,"法甲",NA,135
"薛迪比","摩纳哥","25(4)",1982,"0",0,17,3,"0%",31,9,0,"1992-07-29","右脚","法国、马里","2022-06-30","后卫",51,26,46,18,9,32,35,1050,0.75,30,2,991,91,2,8,"法甲",NA,1620
"姆比达","摩纳哥","2(2)",20,"0",0,1,0,"0%",2,0,0,"1995-02-13","右脚","法国、喀麦隆","2021-06-30","中场",2,1,0,0,0,0,0,10,0.7,0,0,0,1,0,1,"法甲",NA,630
"姆比达","摩纳哥","2(2)",20,"0",0,1,0,"0%",2,0,0,"1995-02-13","右脚","法国、喀麦隆","2021-06-30","中场",2,1,0,0,0,0,0,10,0.7,0,0,0,1,0,1,"法甲",NA,630
"R.费夫雷","摩纳哥","1",90,"0",0,2,0,"0%",2,0,0,"1998-07-14","左脚","法国","2021-06-30","中场",1,1,1,1,0,1,3,41,0.854,1,0,0,2,0,1,"法甲",NA,9
"R.费夫雷","摩纳哥","1",90,"0",0,2,0,"0%",2,0,0,"1998-07-14","左脚","法国","2021-06-30","中场",1,1,1,1,0,1,3,41,0.854,1,0,0,2,0,1,"法甲",NA,9
"P.佩莱格里诺","摩纳哥","3(3)",80,"1",80,1,1,"100%",2,0,0,"2001-03-17","右脚","意大利","2022-06-30","前锋",1,1,0,0,0,1,4,12,0.583,1,0,0,0,0,1,"法甲",NA,720
"P.佩莱格里诺","摩纳哥","3(3)",80,"1",80,1,1,"100%",2,0,0,"2001-03-17","右脚","意大利","2022-06-30","前锋",1,1,0,0,0,1,4,12,0.583,1,0,0,0,0,1,"法甲",NA,720
"威廉格贝尔","摩纳哥","1(1)",7,"0",0,0,0,"0%",0,0,0,"2001-08-16","右脚","法国、荷兰","2023-06-30","后卫",0,0,0,1,0,0,0,3,0.333,0,0,0,0,0,0,"法甲",NA,1080
"瓦因奎乌尔","摩纳哥","3(2)",78,"0",0,0,0,"0%",1,0,0,"1988-11-19","右脚","法国、海地","2019-06-30","中场",6,0,0,3,0,2,0,63,0.905,0,0,0,1,0,1,"法甲",NA,113
"M.洛佩斯","摩纳哥","24(2)",1857,"2",928.5,51,24,"3.9%",28,5,4,"1995-12-28","左脚","葡萄牙、巴西","2020-06-30","中场",35,8,10,28,1,9,16,521,0.743,47,2,928.5,17,5,22,"法甲",NA,2520
"M.洛佩斯","摩纳哥","24(2)",1857,"2",928.5,51,24,"3.9%",28,5,4,"1995-12-28","左脚","葡萄牙、巴西","2020-06-30","中场",35,8,10,28,1,9,16,521,0.743,47,2,928.5,17,5,22,"法甲",NA,2520
"吉恩","摩纳哥","17(5)",1073,"0",0,14,3,"0%",17,0,0,"1994-03-20","左脚","法国","2023-06-30","中场",20,18,12,11,0,21,25,537,0.853,8,1,1073,41,4,11,"法甲",NA,900
"法尔考","摩纳哥","32(4)",2495,"15(3)",207.9,93,42,"12.9%",61,14,2,"1986-02-10","右脚","哥伦比亚","2020-06-30","前锋",36,3,23,46,6,88,68,633,0.774,18,2,1247.5,24,6,11,"法甲",NA,900
"法布雷加斯","摩纳哥","13(1)",969,"1",969,10,5,"10%",17,0,0,"1987-05-04","右脚","西班牙","2022-06-30","中场",12,10,3,6,3,6,6,711,0.85,19,0,0,63,2,3,"法甲",NA,2250
"纳尔多","摩纳哥","6(1)",415,"0",0,3,0,"0%",0,0,0,"1982-09-10","右脚","巴西、德国","2020-06-30","后卫",5,3,21,0,2,13,2,164,0.841,1,0,0,24,0,0,"法甲",NA,135
"B.亨里克斯","摩纳哥","21(1)",1737,"1",1737,8,1,"12.5%",42,4,0,"1997-02-23","右脚","德国、加纳","2023-06-30","后卫",59,29,41,10,0,15,34,801,0.74,22,2,868.5,78,1,8,"法甲",NA,1440
"B.亨里克斯","摩纳哥","21(1)",1737,"1",1737,8,1,"12.5%",42,4,0,"1997-02-23","右脚","德国、加纳","2023-06-30","后卫",59,29,41,10,0,15,34,801,0.74,22,2,868.5,78,1,8,"法甲",NA,1440
"戈洛温","摩纳哥","30(3)",2343,"3",781,50,16,"6%",43,1,2,"1996-05-30","右脚","俄罗斯","2023-06-30","中场",33,19,6,36,3,9,45,1016,0.824,26,3,781,70,3,26,"法甲",NA,2700
"索菲亚迪奥普","摩纳哥","12(4)",652,"0",0,8,3,"0%",8,1,0,"2000-06-09","右脚","法国、塞内加尔","2021-06-30","中场",11,6,3,20,0,6,15,189,0.688,2,0,0,19,2,13,"法甲",NA,450
"A·席尔瓦","摩纳哥","15(2)",1183,"0",0,9,3,"0%",16,0,0,"1989-03-15","右脚","葡萄牙、法国","2021-06-30","中场",50,19,24,15,2,20,22,728,0.83,6,0,0,83,0,15,"法甲",NA,1800
"苏巴西奇","摩纳哥","14",1138,"0",0,0,0,"0%",2,0,0,"1984-10-27","右脚","克罗地亚","2020-06-30","守门员",0,0,9,0,0,5,1,262,0.618,0,0,0,167,0,0,"法甲",NA,405
"格利克","摩纳哥","33",2970,"1",2970,15,4,"6.7%",38,0,1,"1988-02-03","右脚","波兰、德国","2021-06-30","后卫",31,60,195,3,16,105,29,1619,0.842,2,0,0,257,1,2,"法甲",NA,1350
"F.巴罗图雷","摩纳哥","36",3190,"0",0,7,3,"0%",53,3,1,"1997-01-03","左脚","法国、马里","2023-06-30","后卫",97,51,66,37,9,60,30,1189,0.788,26,4,797.5,102,3,50,"法甲",NA,630
"高臣马田斯","摩纳哥","16",1393,"4",348.2,30,16,"13.3%",25,2,1,"1995-05-11","右脚","葡萄牙、佛得角","2024-06-30","中场",20,8,7,26,2,7,14,453,0.788,16,2,696.5,13,0,21,"法甲",NA,2520
"约维蒂奇","摩纳哥","8(4)",398,"2",199,20,7,"10%",3,1,0,"1989-11-02","右脚","黑山、塞尔维亚","2021-06-30","前锋",1,1,3,3,0,5,4,121,0.686,6,0,0,13,5,2,"法甲",NA,1260
"贝纳里奥","摩纳哥","22(1)",1967,"0",0,0,0,"0%",2,0,0,"1983-09-08","右脚","瑞士、意大利","2020-06-30","守门员",1,0,25,0,0,6,1,516,0.709,0,0,0,245,0,0,"法甲",NA,90
"F.巴罗图雷","摩纳哥","36",3190,"0",0,7,3,"0%",53,3,1,"1997-01-03","左脚","法国、马里","2023-06-30","后卫",97,51,66,37,9,60,30,1189,0.788,26,4,797.5,102,3,50,"法甲",NA,630
"塞杜","摩纳哥","3(1)",225,"0",0,0,0,"0%",0,0,0,"1995-12-12","右脚","塞内加尔","2020-06-30","守门员",0,0,0,0,0,0,0,48,0.75,0,0,0,19,0,0,"法甲",NA,90
"贝纳里奥","摩纳哥","22(1)",1967,"0",0,0,0,"0%",2,0,0,"1983-09-08","右脚","瑞士、意大利","2020-06-30","守门员",1,0,25,0,0,6,1,516,0.709,0,0,0,245,0,0,"法甲",NA,90
"A·席尔瓦","摩纳哥","15(2)",1183,"0",0,9,3,"0%",16,0,0,"1989-03-15","右脚","葡萄牙、法国","2021-06-30","中场",50,19,24,15,2,20,22,728,0.83,6,0,0,83,0,15,"法甲",NA,1800
"拉吉","摩纳哥","6",540,"0",0,1,0,"0%",6,1,0,"1984-06-24","右脚","意大利","2019-06-30","后卫",7,7,14,2,1,4,1,191,0.843,3,0,0,21,0,0,"法甲",NA,45
"格利克","摩纳哥","33",2970,"1",2970,15,4,"6.7%",38,0,1,"1988-02-03","右脚","波兰、德国","2021-06-30","后卫",31,60,195,3,16,105,29,1619,0.842,2,0,0,257,1,2,"法甲",NA,1350
